time,open,high,low,close,Volume,vma,positiveDI,negativeDI,ADX,squeeze_momentum,squeeze,adl
1636119000,61586.2,61953.4,61586.1,61777.1,36.729369539999965,13.637519265000407,26.670792988662473,23.6595655501481,23.74006789012395,-265.53360714287555,0,12022.951083137077
1636119900,61778.4,61848.3,61680,61823.9,10.292430259999994,13.960554007500406,25.090169039776843,22.257399669865105,22.856657488236458,-148.06432142858978,0,12030.259136708497
1636120800,61823.9,61847,61676.3,61676.3,7.843544569999996,13.549685045500405,23.564748707782314,21.035986130581573,21.343201678091532,-64.04475000001753,0,12022.415592138497
1636121700,61676.2,61743.7,61651.2,61658.1,10.002000380000005,13.872859357000404,22.757327597940684,21.244966999396222,19.664929975063608,7.977678571409797,0,12013.90578208546
1636122600,61658,61658.1,61432.7,61432.7,12.095898699999998,13.093745844000406,20.879902514746504,27.48952511497858,17.909525409162246,19.640321428551488,0,12001.80988338546
1636123500,61432.6,61533.7,61280.8,61329.1,25.099504089999993,13.886391807500406,18.98720189649126,30.4422371634407,16.833013329726533,15.458607142837195,0,11986.297615733158
1636124400,61343,61360.6,60960,61051.3,74.90934074,17.235314341000407,16.444370782255536,37.089880338419235,18.9062771815105,-31.83189285716179,0,11945.533171695915
1636125300,61051.2,61126.9,60933.5,61063.8,29.951789640000023,18.230969338500408,15.373909239590505,35.56743578657146,20.058882922060892,-68.30653571430457,0,11955.940411943113
1636126200,61086.3,61162,60850,60850.1,16.04746588000001,17.365485803000407,13.811879179672143,34.67286346216884,21.359618566034637,-150.5306785714475,0,11939.903232900215
1636127100,60850,60974.8,60827.5,60876.3,42.06335792000002,19.27595889950041,13.133431853005881,33.72002692328019,22.72552471939471,-216.61089285716028,0,11925.710776086748
1636128000,60876.3,60952.7,60804.4,60913.9,38.928505480000005,20.05546198550041,12.46933743470944,32.80259784010683,23.65512185376335,-277.79800000001615,0,11944.269409515178
1636128900,60912.5,61062.9,60912.4,60984.1,18.906946029999993,20.58948730550041,15.650901095484674,31.08477127905072,24.358567508815074,-315.31289285715894,0,11943.377453921736
1636129800,60973.3,60973.5,60904.1,60911.9,24.02199529,20.88470176000041,15.195367458465952,30.48199464817086,25.093640382893692,-356.29096428572893,0,11924.755215498077
1636130700,60904.1,60998.8,60900,60932,28.64494995000002,21.469450157000413,15.583400669677308,29.345986469298772,26.079816198117673,-412.6956785714428,0,11914.665698714069
1636131600,60931.9,60961.9,60895,60918,28.73106587,22.242053694500413,15.171104655353204,28.767306734097353,27.862733903090565,-453.8924642857271,0,11905.689924772618
1636132500,60917.9,60948.7,60884,60884,11.407280849999996,22.437619928500414,14.76426655021934,28.451788512055646,29.697689838078325,-500.8741428571559,0,11894.282643922617
1636133400,60884.1,61138.7,60842.8,60979.7,15.038079389999993,22.542131440000414,20.533127722132438,25.132361765777254,30.01210392468476,-525.8615357142991,0,11893.159488956348
1636134300,60976.3,61052,60950,61017.7,4.486778099999999,22.400162856000414,19.68074442907683,24.08905235991957,30.486001860862096,-518.2627142857285,0,11894.628688843994
1636135200,61017.8,61123,60989.7,61039,10.398476699999998,22.668503392000414,21.53448336834553,22.759350299944906,29.707462214684462,-497.0328214285863,0,11891.921808562749
1636136100,61026.6,61388.9,61023.3,61260.7,31.697570929999976,23.864817515500413,28.711276335682616,19.568838241907383,29.404727884523812,-431.35039285715754,0,11901.389463774882
1636137000,61261.6,61261.6,61116.5,61150.5,2.5651818999999993,22.156608133500416,27.08824358000298,18.462622513777617,28.00267014090244,-360.2331071428718,0,11900.026434660547
1636137900,61148.1,61400,61131.1,61228.3,14.579878910000005,22.370980566000416,29.559993371120868,16.590856080306697,27.17844737311729,-263.78257142858627,0,11895.987011161867
1636138800,61228.2,61228.2,61101.2,61194.2,8.83633791,22.420620233000413,28.10938861840997,16.931126395641773,25.877901945538476,-175.92314285715813,0,11900.092081529505
