time,open,high,low,close,Volume,Volume MA,DI+,DI-,ADX,Plot,Plot,adl
1560297600,7922.2,8286.8,7823.1,8171,8081.90839436,7216.036447865486,20.174630175839777,22.647622408832554,12.946103979104407,-580.9963214285779,0,952.5449940931919
1560384000,8171,8344.9,8005,8237.6,5762.34175582,7127.522087702986,20.013679297255223,21.464655826003316,12.64012555840111,-582.1209285714349,0,956.4959124797903
1560470400,8237.6,8740,8175,8694,7257.80726429,7337.424988165486,24.281900788010383,19.62923675190932,12.841110010932224,-487.4750714285781,0,954.2926091746265
1560556800,8694,8912,8620.3,8856.8,5293.9358883,7116.069167967487,25.855978786479806,18.73836405617486,13.356493206715475,-309.6988214285783,0,952.0893058694627
1560643200,8857,9390,8456,8976.1,12551.75925319,7359.291777431487,29.282523580328128,16.202684640804772,14.311902704006423,-120.5674285714353,0,949.8860025642989
1560729600,8976,9470,8971.9,9335,8436.74202351,7490.484050669987,28.329085108983143,15.034264066635581,16.34575859149832,118.68146428570762,0,951.3130147003243
1560816000,9335,9355,8943,9080.5,6320.83214504,7510.2390584239865,26.619179122746594,14.55020555834622,17.11621074221704,294.58396428570757,0,955.0532502145837
1560902400,9077.3,9323.3,9040,9277.1,4408.22300671,7080.7210426204865,25.48029841699059,13.927686422847257,17.886662892935757,452.5988571428505,0,957.1976580229273
1560988800,9282.1,9600,9213.2,9534.3,6475.26400109,6952.978461124486,28.206090342438806,13.103374994542241,18.953713184276086,658.921142857136,0,960.8143980026339
1561075200,9533.2,10250,9533.2,10219.2,9099.70690374,7261.543494550487,34.80581752308984,11.719155753826858,21.62625496685894,943.5253571428502,0,958.1401663089478
1561161600,10216.2,11216.8,10000,10663.8,12842.48586265,7713.085305125487,42.03268652017464,9.82227624989276,25.191244266243597,1259.6178928571362,0,955.4659346152616
1561248000,10663.6,11286.8,10474,10814.1,5943.46891708,7559.3828930374875,38.54713974905998,8.79787440323392,28.256799182306366,1511.2901785714216,0,952.7917029215755
1561334400,10812.1,11102.6,10511,11020.6,5457.41272587,7111.433754254487,35.63405817196723,8.133002093421059,31.652661424404815,1717.5102142857077,0,950.2050599911569
1561420800,11023.9,11800,11007.5,11765.1,11623.88144358,7299.741217282988,40.78189562326137,7.33348677284386,35.52581121398028,1999.8221428571364,0,947.2682249600392
1561507200,11765.1,13875.7,11540.1,12933.7,25638.32016814,8175.201485867988,52.21811791299186,5.589531956641885,40.87485419494471,2324.58635714285,0,948.5989515785951
1561593600,12933.2,13360.9,10300,11148,25036.02921073,9097.965302419487,39.096260966796265,14.365736109650474,43.929138745135674,2272.9492857142804,0,952.2421270166885
1561680000,11161.9,12450,10723.3,12360,13815.54984822,9617.574192990487,33.91828117388345,12.463111934175936,46.47646042209222,2397.4551071428505,0,956.306370155227
1561766400,12370,12436.2,11172.6,11865.1,10990.71086727,9954.933271257987,30.71260805550267,11.28520251435777,48.640555919169294,2347.078214285708,0,960.3706132937655
1561852800,11865.1,12200,10650,10752.3,10959.68537569,10142.137249096986,27.303711308288037,13.774887281789328,48.93896654570524,2075.8912499999947,0,964.434856432304
1561939200,10749.4,11239,9900,10575.9,14633.39438537,10531.472972032487,24.748218551378958,17.728068028056736,47.929545353481664,1736.6774285714225,0,966.5783569792119
