time,open,high,low,close,MA,Volume,Volume MA,Histogram,MACD,Signal
1610582400,37390.1,40115,36676.6,39151.6,37942.48888888886,10421.75629722,12364.443866265996,-53.11111439194519,3842.381485756774,3895.4926001487192
1610668800,39121.5,39686.1,34371,36739.8,37927.277777777745,13462.33057571,12559.195718411496,-216.55880486809838,3624.7940940635963,3841.3528989316947
1610755200,36744.6,37947.5,35342.2,36014.6,37541.23333333331,8826.74412377,12305.395395353997,-388.9537312833736,3355.1607348274774,3744.114466110851
1610841600,36010.5,36873.9,33850,35816.4,37002.31111111108,9017.89627085,12362.723133905496,-523.400971873974,3089.8632512683835,3613.2642231423574
1610928000,35815.6,37400,34754.5,36622.5,36599.02222222219,7434.80713473,12301.456871649996,-561.7303751831159,2911.1012541634627,3472.8316293465787
1611014400,36622.5,37860,35900,35925.6,36349.58888888886,6291.52481546,12095.413440978497,-632.4433411049095,2682.2774529654416,3314.720794070351
1611100800,35925.5,36396.7,33374,35511.8,36357.64444444441,9160.40267834,12176.078712455997,-700.2385592459054,2439.4225950129694,3139.661154258875
1611187200,35511.8,35614.1,30056.1,30832.6,36000.555555555526,19490.8782645,12858.104129995996,-1033.262930170472,1848.0824915457852,2881.345421716257
1611273600,30832.5,33850,28800,33000,35512.766666666634,15198.77766201,12642.124275746995,-1075.7810755771925,1536.6190772447662,2612.4001528219587
1611360000,33000.1,33496.4,31350,32100.5,34729.31111111108,6099.11396014,12350.025078701496,-1127.2571459130609,1203.3287204306325,2330.5858663436934
1611446400,32101.1,33088.2,30950,32292,34235.11111111108,4828.26804529,11794.217652101996,-1109.4550911022097,943.767002465931,2053.2220935681407
1611532800,32297.8,34872.7,31908.7,32274.4,33819.5333333333,9125.57931546,11704.439636901994,-1059.9796636513558,728.247514003946,1788.2271776553018
1611619200,32266.9,32932.8,30816.2,32501,33451.155555555524,8853.04385382,11537.520434879496,-975.2453819366051,569.1704502345456,1544.4158321711507
1611705600,32509.2,32579,29255,30424.2,32762.45555555552,11177.08728048,11292.005288452996,-1017.6282698513355,272.3804948569814,1290.008764708317
1611792000,30422.6,33872.1,29900,33430.4,32485.211111111075,8816.48779189,11036.347035317496,-810.7593901449031,276.55952702718787,1087.318917172091
1611878400,33430.5,38621,32000,34261.7,32346.311111111077,20784.44273084,11776.215302155997,-595.4578921986653,342.9965519237594,938.4544441224247
1611964800,34266.3,34902,32865.2,34296.5,32731.188888888857,5251.37596528,11356.018161433996,-435.6310530435733,393.915627817958,829.5466808615313
1612051200,34297.4,34373.2,32200,33122,32744.74444444441,4625.29985591,10278.909268650996,-395.13485187159404,335.62811602203874,730.7629678936328
1612137600,33121.8,34700,32325.3,33533.9,32904.011111111075,5477.65375934,9869.189552103497,-329.4147264157167,318.9945598739869,648.4092862897036
1612224000,33534.1,36000,33462.1,35500,33260.45555555552,6823.84641944,9558.365840023996,-151.3936755604011,459.16719183920213,610.5608673996032
1612310400,35500,37676,35394.8,37670.9,33860.06666666662,7012.07882423,9387.881966374496,101.098176413396,736.9335879163482,635.8354115029522
1612396800,37676,38735.1,36202,36979,34357.622222222184,7172.17139342,9073.374007259996,204.1032125143031,890.964427145831,686.8612146315279
1612483200,36975.8,38340,36582.9,38296.7,35232.34444444441,4809.54280306,8872.513941224495,335.7958989676265,1106.606088341061,770.8101893734345
1612569600,38311.7,40986,38221.4,39257,35879.74444444441,9126.76729633,8877.957492498495,454.9921208272632,1339.5503404075134,884.5582195802502
1612656000,39257,39704.4,37410.5,38874.9,36392.322222222196,5135.54003709,8762.994137616493,473.40148687638475,1476.3100781757312,1002.9085912993464
1612742400,38867.1,46727.2,38075,46425.8,37740.02222222219,13645.82438631,9130.709116158994,932.8611041986737,2168.9849715476885,1236.1238673490147
1612828800,46425.7,48222,45050,46502.8,39226.777777777745,10569.26592496,9201.152278489993,1165.5838253329512,2693.1036490152037,1527.5198236822525
1612915200,46504.5,47340,43734.8,44847.5,40483.84444444442,6451.55893098,8549.186311813994,1130.784602619645,2941.000576956809,1810.2159743371637
1613001600,44839.5,48703.6,44046.2,47962.8,41868.59999999997,7958.57095807,8187.175976616994,1232.0033011865767,3350.2201008203847,2118.216799633808
1613088000,47979.9,48925,46263,47470.4,42957.433333333305,5329.28801848,8148.684679533993,1180.126375785047,3593.3747693651167,2413.2483935800697
1613174400,47438.2,48224.1,46285,47199.9,44093.08888888886,2631.80889729,8038.861722133994,1046.4829462630037,3721.3520764088244,2674.8691301458207
1613260800,47199.9,49700,47038.7,48649.7,45243.42222222219,3553.11213783,7760.238363252494,975.9960461987439,3894.864187894251,2918.868141695507
1613347200,48655.4,49043.3,45710.5,47937.1,46207.87777777775,5337.99924266,7584.486132694494,808.5656663764626,3929.575224666085,3121.0095582896224
1613433600,47937.1,50599.9,47040.1,49218.7,47357.18888888886,6164.84310657,7333.873923998995,714.5722692005238,4014.224894790277,3299.6526255897534
1613520000,49185.6,52779.6,48967.4,52130,47990.98888888886,7315.05472229,7258.802270518996,773.9100312122564,4267.040164605074,3493.1301333928177
1613606400,52130,52555.1,50904.2,51600.9,48557.444444444416,4118.2056143,6425.490414691995,704.9200216436429,4374.280160447372,3669.3601388037287
1613692800,51590.5,56349.9,50683.4,55926.9,49788.48888888887,7713.05266355,6548.5742496054945,867.3477055538729,4753.54477074607,3886.197065192197
1613779200,55926.5,57500,53961.9,55938.7,50674.699999999975,5846.24681261,6609.621597440496,889.0097627317809,4997.459268606923,4108.449505875142
1613865600,55931.5,58339,55490.5,57478.3,51786.688888888864,3727.83573597,6522.1306962719955,916.7814850282857,5254.426362160499,4337.644877132213
1613952000,57475.9,57567.6,45002,54154.8,52559.45555555553,8995.88323567,6630.732537083497,634.4855761219842,5130.751847284693,4496.266271162709
1614038400,54128,54200,45000,48899.8,52587.24444444442,15286.70077677,7044.463634710497,47.93376236770746,4556.183474122343,4508.249711754635
1614124800,48899.6,51442.5,47015.7,49727.7,52786.19999999998,8106.98063383,7091.204096730998,-310.4845263249463,4120.144053848453,4430.628580173399
1614211200,49726.1,52071.9,46702,47061.5,52546.51111111109,7523.45749188,7226.899831171997,-729.4019043436401,3518.8761997438487,4248.278104087489
1614297600,47072.1,48449,44120.3,46314.5,51900.344444444425,10050.93808767,7273.108370738996,-1040.137283424176,2948.106499807269,3988.243783231445
1614384000,46307.2,48350,45022.9,46170.2,51296.93333333331,4235.54896417,7228.108817092997,-1225.9434301166375,2455.814495585648,3681.7579257022853
1614470400,46163.9,46706.2,43020,45245.4,50110.09999999998,6816.1859912,6886.626897337497,-1370.7216025395473,1968.3559225278514,3339.0775250673987
1614556800,45234.7,49818.1,45046.8,49620.7,49408.09999999997,7070.92019864,6711.709611021497,-1140.8305727006,1913.0393091916485,3053.8698818922485
1614643200,49615.3,50225.8,47050.2,48486.2,48408.97777777774,5796.81965376,6678.972647160497,-1037.1777935547166,1757.3976399488529,2794.5754335035695
1614729600,48495.9,52600,48160,50400,47991.777777777745,6708.18840891,6616.453519702496,-821.183031656461,1768.0966439329932,2589.279675589454
1614816000,50400,51820.4,47500,48330,47928.46666666664,7216.78759437,6710.828498496996,-798.4624606074258,1591.2015998301722,2389.664060437598
1614902400,48330,49539.3,46312,48734.7,47818.1333333333,7479.75867485,6953.225987374995,-738.3240278081016,1466.759025677471,2205.0830534855727
1614988800,48767.4,49232.2,47111.9,48899.9,48022.399999999965,3104.70756826,6930.805758896495,-671.4869008668834,1365.7244274019686,2037.211328268852
1615075200,48906,51470.2,48905.9,50962.3,48538.822222222196,4519.00601948,6889.856097737495,-481.34954858039305,1435.5243925433606,1916.8739411237536
1615161600,50971.3,52432.9,49368,52375,49228.24444444441,4669.92258546,6815.110071681995,-264.2625611578512,1586.5457396764396,1850.8083008342908
1615248000,52383,54929,51875,54929,50304.199999999975,5880.25345094,6743.370008114494,31.77328441363943,1890.5249063513402,1858.7516219377007
1615334400,54922.7,57378,53051,55851,50996.45555555553,8091.71494883,6942.045474840995,257.5512114857661,2180.6906362949085,1923.1394248091424
1615420800,55859.9,58150.1,54286.3,57809.9,52032.422222222194,6091.59480918,6860.972582122495,493.0427086514096,2539.4428106234045,2046.400101971995
1615507200,57807,58069.5,55040.2,57234,52791.75555555553,4971.61542626,6817.241012804993,559.3888716455544,2745.636191528938,2186.2473198833836
1615593600,57238.9,61724.6,56073.2,61174.9,54218.966666666645,7245.63678712,6993.131065362492,803.2167041150851,3190.26820002724,2387.0514959121547
1615680000,61174.9,61639.2,59001,59001.1,55359.67777777775,3394.47205511,6713.060506334492,753.448188447454,3328.861731471472,2575.413543024018
1615766400,59001,60580,54593.8,55600,56104.13333333332,6711.98003023,6284.324469007492,442.2274378719876,3128.1978403640023,2685.9704024920147
1615852800,55627.6,56891.1,52500,56891.1,56762.88888888887,6381.12428361,6198.0316514964925,281.88551402178064,3038.3272950192404,2756.44178099746
1615939200,56891.1,58951,53752,58933,57491.55555555553,6490.94833867,6146.406193835992,271.7887322433253,3096.1776963016164,2824.388964058291
1616025600,58940.5,60000,57007,57640.9,57792.87777777776,5831.63114912,5935.440846908492,143.0044321022301,3003.144504186079,2860.1400720838487
1616112000,57640,59461.5,56243.1,58101.8,58042.966666666645,3859.35865644,5916.631331521992,58.1266092749147,2932.7983336774923,2874.6717244025776
1616198400,58085,59880,57545.2,58091.6,58074.26666666664,3369.76250794,5744.310157358993,-24.979032180236572,2843.447934177282,2868.4269663575187
1616284800,58080.5,58835.6,55536.5,57378.4,58090.31111111109,3889.19115123,5585.2237049884925,-147.42425503026516,2684.146647569687,2831.570902599952
1616371200,57368.8,58403.2,53775,54095.1,57303.66666666664,6153.51294203,5603.058369401992,-451.7897525310336,2266.8337119361604,2718.623464467194
1616457600,54098.2,55814.9,53011,54351.3,56787.0222222222,5011.343934,5518.216145656492,-627.311670166057,1934.483876759623,2561.79554692568
1616544000,54341.2,57200,51641.8,52293.8,56419.66666666664,7897.28001289,5552.240766582492,-859.1009376840393,1487.9193748206308,2347.02031250467
1616630400,52280.4,53219.9,50436.3,51314.9,55800.088888888866,6418.72821219,5499.189243449492,-1043.214916603088,1043.0016667508098,2086.216583353898
1616716800,51318.2,55107,51239.1,55062.2,55369.99999999998,4953.42329206,5591.625029639492,-883.8026486926199,981.463272488123,1865.265921180743
1616803200,55062.1,56668,54000,55852.4,55171.27777777777,3968.91582671,5564.120520000992,-704.1322876428508,985.1005616271796,1689.2328492700303
1616889600,55852.5,56550,54690.9,55782,54913.52222222221,3562.54681255,5508.751731355493,-574.4997850619006,971.1081179426546,1545.6079030045553
1616976000,55782.3,58619.7,54919,57624.2,54861.588888888866,5874.05182831,5508.441650223993,-359.65852773046686,1096.0347433414718,1455.6932710719386
1617062400,57627.5,59380,57055,58781,55017.43333333332,3928.58550804,5300.285178184493,-145.5932996514698,1273.7016465076013,1419.294946159071
1617148800,58781.1,59800,56813.8,58786.2,55538.66666666665,5432.42869541,5267.326872495993,-16.396709727666575,1398.799058999488,1415.1957687271545
1617235200,58780.4,59474.6,57917.1,58732.9,56025.5111111111,2445.66223046,5141.029212705993,49.137201333018766,1476.617270393428,1427.4800690604093
1617321600,58732.9,60025,58500,59020.7,56772.94444444442,4198.7419956,4988.684473129992,92.9893942328174,1543.716811851431,1450.7274176186136
1617408000,59020.7,59867.1,56955,57099,57415.6222222222,3552.82088064,4996.601914406492,-20.263968024468795,1425.3974575880275,1445.6614256124963
1617494400,57099,58495.6,56468.4,58195,57763.711111111086,2188.9765912,4770.451742454992,-33.42237043732348,1403.883462565842,1437.3058330031654
1617580800,58195.1,59278.1,56820,59120,58126.77777777775,3422.5214178,4622.521599164493,6.009949846459449,1444.8182703112398,1438.8083204647803
1617667200,59120,59462.8,57377.1,58017.1,58375.122222222206,2633.69312326,4429.6588383939925,-53.091529470434125,1372.4439086267375,1425.5354380971717
1617753600,58017.2,58652.1,55460,55928.5,58186.71111111109,5043.15330295,4390.234946085492,-233.6379531438597,1133.487996667347,1367.1259498112067
1617840000,55936.6,58159.1,55728,58036.9,58104.03333333332,2512.98708662,4322.916367594492,-212.4639300945812,1101.5460371929803,1314.0099672875615
1617926400,58037,58890.4,57538.3,58110,58028.89999999999,3098.45153987,4309.350819190991,-195.36925918500287,1069.7983933063078,1265.1676524913107
1618012800,58110,61207,57882,59775.6,58144.75555555554,5891.74647812,4409.478585535491,-79.65266237263995,1165.601824525511,1245.2544868981508
1618099200,59760.9,60652.6,59178.7,59956,58248.67777777775,2615.67300487,4232.586588677491,-2.788258018502802,1241.7691643750222,1244.557422393525
1618185600,59967.9,61200,59420,59823.7,58551.4222222222,3519.19528987,4157.97915647099,25.74555723446565,1276.7393689366072,1250.9938117021416
1618272000,59823.7,63882.5,59781.2,63587.2,59150.55555555553,6335.07056179,4079.8686839159905,271.0530811805943,1589.8101631778845,1318.7570819972902
1618358400,63581,64900,61315,62969,59578.2222222222,6019.81776003,4059.92316130799,359.12309802399795,1767.6609545272877,1408.5378565032897
1618444800,62963,63830,62050,63243,60158.87777777776,2859.75955315,3955.2399743624896,400.1425212749848,1908.7160080970207,1508.5734868220359
1618531200,63243.1,63593.1,60100,61455,60772.93333333331,5826.91034158,4048.13970010599,277.0172094970035,1854.84499869329,1577.8277891962866
1618617600,61455.1,62636.4,59702.4,60085.2,61000.52222222221,3141.81775841,4027.10324739899,83.52075886643115,1682.2287377793255,1598.7079789128943
1618704000,60085.2,60403.2,51017.1,56239.8,60792.7222222222,12577.43028465,4362.272170215991,-302.11692385262836,1221.061824097109,1523.1787479497373
1618790400,56227.5,57594.7,54228.9,55720,60342.09999999999,6648.64952388,4498.2753710079905,-575.0486355128648,804.3679535586562,1379.416589071521
1618876800,55720,57110.4,53388.3,56500,59958.09999999999,7803.21648333,4616.8147604039905,-678.7700450765244,530.9540327258655,1209.72407780239
1618963200,56500,56805.5,53600,53815.2,59290.48888888888,4784.93563962,4733.77843086199,-890.5648551151726,96.51800890842424,987.0828640235968
1619049600,53815.3,55459.4,50500,51730,57973.02222222221,10121.26324868,5029.904493515991,-1118.700496252659,-411.29275629222684,707.4077399604321
1619136000,51709.3,52124.4,47549.3,51178.7,56662.988888888874,11159.24338019,5410.22561849349,-1244.6793472129764,-848.4414440557885,396.23790315718793
1619222400,51178.6,51200,48746.4,50093.4,55201.92222222221,4039.45909297,5502.749743581991,-1331.266038132218,-1267.8446445080845,63.42139362413343
1619308800,50085.7,50580.4,47000,49106.5,53829.866666666654,5239.28585713,5593.587965548491,-1379.3095861669726,-1660.7155890845825,-281.4060029176098
1619395200,49112.6,54419.5,48828.6,54051.9,53159.49999999998,6729.25517904,5798.366068337491,-1018.9472641522597,-1555.0900831079343,-536.1428189556747
1619481600,54056.1,55500,53333.4,55078.7,53030.488888888874,3213.82542637,5706.8996745084905,-669.2483538266335,-1372.7032612389667,-703.4549074123331
1619568000,55077.4,56500,53868.4,54899.3,52939.29999999998,3678.87523673,5765.194082013991,-420.01637181589774,-1228.4753721822053,-808.4590003663076
1619654400,54886.1,55246.3,52390.2,53579.6,52614.8111111111,4527.77869891,5836.66043996599,-318.6342462177646,-1206.7518081385133,-888.1175619207487
1619740800,53579.7,57987.8,53071.6,57780,53055.34444444443,4816.82419072,5782.914325595991,37.7699530988865,-840.9051205471405,-878.675073646027
1619827200,57780.3,58525.5,57070,57859.2,53736.366666666654,2687.71981591,5786.516666147991,272.2423090769821,-538.3721872997994,-810.6144963767815
1619913600,57859,57959.5,56101,56618.5,54340.78888888887,2371.70518092,5729.14216070049,333.1452897509746,-394.1828841880633,-727.3281739390379
1620000000,56618.6,58981.4,56505,57193.5,55129.68888888887,3958.84291602,5610.330778411992,397.1801403876228,-230.85299845450936,-628.0331388421322
1620086400,57193.4,57214.4,53100.1,53239.4,55588.89999999999,5831.51364404,5600.915572612491,169.879338681709,-415.6839654899959,-585.5633041717049
1620172800,53201.1,57999.8,53000,57497.1,55971.69999999998,4971.78615975,5706.5169029424915,295.5611801811525,-216.11182894526428,-511.6730091264168
1620259200,57494.2,58420.2,55309,56421.1,56120.855555555536,3812.08482815,5605.77562727099,294.8393370009541,-143.12383787522413,-437.96317487617824
1620345600,56421,58700,55320,57383,56396.8222222222,4489.18454913,5673.143966806991,344.3099719272895,-7.575709967066359,-351.88568189435586
1620432000,57388,59521.4,57000,58953.8,56993.95555555554,4318.90529825,5260.217717486991,460.7207707375193,224.01528152754327,-236.705489209976
1620518400,58951.5,59264,56326,58293.1,57050.966666666645,4279.90854407,5141.780668496491,469.5267283504939,350.20292122814135,-119.32380712235253
1620604800,58320.5,59598.8,53470,55888.1,56831.95555555554,6558.94900359,5079.56729450949,298.0391359174386,253.22511277444573,-44.81402314299288
1620691200,55887.6,56949.9,54538.5,56747.5,56846.28888888887,3816.34383723,5031.13770438999,230.18379243568012,242.91571740160725,12.73192496592715
1620777600,56754.7,57983.6,48605,49502.7,55991.755555555545,8462.39814196,4948.194449053991,-286.87552239820394,-345.8624780318278,-58.986955633623836
1620864000,49502.7,51412.4,45000,49675.2,55595.733333333315,13342.39852271,5057.35220617999,-584.3734750856671,-789.4537994907078,-205.0803244050406
