time,open,high,low,close,Volume,Volume MA,DI+,DI-,ADX,Plot,Plot,RSI
1610496000,34038.2,37820,32349.9,37390.1,13040.32066103,12148.638886962495,24.442772921029775,19.84665153393873,47.06212650944427,6827.0543928571415,0,66.32956175680798
1610582400,37390.1,40115,36676.6,39151.6,10421.75629722,12364.443866265996,27.431971507400853,18.444267814896552,43.397057171879474,6598.270678571424,0,69.21520476406323
1610668800,39121.5,39686.1,34371,36739.8,13462.33057571,12559.195718411496,24.544762785321915,21.068568948933866,38.78913898363214,5888.29296428571,0,61.44990261894134
1610755200,36744.6,37947.5,35342.2,36014.6,8826.74412377,12305.395395353997,23.252863705210416,19.959637276525513,33.582565843798854,4944.688392857138,0,59.29572541820022
1610841600,36010.5,36873.9,33850,35816.4,9017.89627085,12362.723133905496,21.817477849359236,21.773694187409,27.66975036123197,4008.267999999998,0,58.69016691217974
1610928000,35815.6,37400,34754.5,36622.5,7434.80713473,12301.456871649996,21.71135201457675,20.576958030849905,25.32721248603064,3164.4927857142793,0,60.45885759988701
1611014400,36622.5,37860,35900,35925.6,6291.52481546,12095.413440978497,21.785208330360472,19.712505576805476,22.897597795592496,2285.4272142857108,0,58.14120312451735
1611100800,35925.5,36396.7,33374,35511.8,9160.40267834,12176.078712455997,20.364339685856745,23.87724898305193,20.03481110268549,1328.2621785714227,0,56.750097612165575
1611187200,35511.8,35614.1,30056.1,30832.6,19490.8782645,12858.104129995996,18.035077360055336,27.974171071643067,17.4872071193142,-439.3589285714297,0,43.94572060750811
1611273600,30832.5,33850,28800,33000,15198.77766201,12642.124275746995,16.219769579777694,27.662051828589775,15.0040317728084,-1512.8806428571443,0,49.61637752989818
1611360000,33000.1,33496.4,31350,32100.5,6099.11396014,12350.025078701496,15.505405902587505,26.443738278221335,12.5208564263026,-2606.4974642857196,0,47.470073290225564
1611446400,32101.1,33088.2,30950,32292,4828.26804529,11794.217652101996,14.805837767894324,26.09468911448609,12.324209228813865,-3702.0287857142866,0,47.98594208850092
1611532800,32297.8,34872.7,31908.7,32274.4,9125.57931546,11704.439636901994,17.670732034512298,24.448024300929955,13.107249756290546,-4546.970571428574,0,47.93934560529087
