time,open,high,low,close,EMA12,EMA26,Volume,Volume MA,Histogram,MACD,Signal
1610582400,37390.1,40115,36676.6,39151.6,32057.10622333713,35899.487709093904,10421.75629722,12364.443866265996,-53.11111439194519,3842.381485756774,3895.4926001487192
1610668800,39121.5,39686.1,34371,36739.8,32403.972429015863,36028.76652307946,13462.33057571,12559.195718411496,-216.55880486809838,3624.7940940635963,3841.3528989316947
1610755200,36744.6,37947.5,35342.2,36014.6,32671.426323162836,36026.58705799031,8826.74412377,12305.395395353997,-388.9537312833736,3355.1607348274774,3744.114466110851
1610841600,36010.5,36873.9,33850,35816.4,32904.38733626188,35994.25058753027,9017.89627085,12362.723133905496,-523.400971873974,3089.8632512683835,3613.2642231423574
1610928000,35815.6,37400,34754.5,36622.5,33179.803089131376,36090.90434329484,7434.80713473,12301.456871649996,-561.7303751831159,2911.1012541634627,3472.8316293465787
1611014400,36622.5,37860,35900,35925.6,33383.195452899425,36065.472905864866,6291.52481546,12095.413440978497,-632.4433411049095,2682.2774529654416,3314.720794070351
1611100800,35925.5,36396.7,33374,35511.8,33540.869863795764,35980.29245880873,9160.40267834,12176.078712455997,-700.2385592459054,2439.4225950129694,3139.661154258875
1611187200,35511.8,35614.1,30056.1,30832.6,33340.257281292375,35188.33977283816,19490.8782645,12858.104129995996,-1033.262930170472,1848.0824915457852,2881.345421716257
1611273600,30832.5,33850,28800,33000,33315.05303823368,34851.672115478446,15198.77766201,12642.124275746995,-1075.7810755771925,1536.6190772447662,2612.4001528219587
1611360000,33000.1,33496.4,31350,32100.5,33225.086146512665,34428.4148669433,6099.11396014,12350.025078701496,-1127.2571459130609,1203.3287204306325,2330.5858663436934
1611446400,32101.1,33088.2,30950,32292,33155.968654178396,34099.73565664433,4828.26804529,11794.217652101996,-1109.4550911022097,943.767002465931,2053.2220935681407
1611532800,32297.8,34872.7,31908.7,32274.4,33090.66727238741,33818.91478639135,9125.57931546,11704.439636901994,-1059.9796636513558,728.247514003946,1788.2271776553018
1611619200,32266.9,32932.8,30816.2,32501,33046.98821517352,33616.15866540807,8853.04385382,11537.520434879496,-975.2453819366051,569.1704502345456,1544.4158321711507
1611705600,32509.2,32579,29255,30424.2,32852.70760664215,33125.08810149913,11177.08728048,11292.005288452996,-1017.6282698513355,272.3804948569814,1290.008764708317
1611792000,30422.6,33872.1,29900,33430.4,32895.49963577977,33172.05916280696,8816.48779189,11036.347035317496,-810.7593901449031,276.55952702718787,1087.318917172091
1611878400,33430.5,38621,32000,34261.7,32996.69966275905,33339.69621468281,20784.44273084,11776.215302155997,-595.4578921986653,342.9965519237594,938.4544441224247
